,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
1193,1193,1194,23,PL1,positive,fatal,negative,1083,1
1194,1194,1195,29,PL2,positive,morgue,negative,905,1
1195,1195,1196,6,PH1,positive,arrest,negative,950,1
1196,1196,1197,35,NH1,negative,morgue,negative,1021,1
1197,1197,1198,52,NL1,negative,arrest,negative,933,1
1198,1198,1199,12,PH2,positive,comfy,positive,642,1
1199,1199,1200,21,PL1,positive,morgue,negative,751,1
1200,1200,1201,34,NH1,negative,arrest,negative,639,1
1201,1201,1202,29,PL2,positive,morgue,negative,726,1
1202,1202,1203,11,PH2,positive,relax,positive,650,1
1203,1203,1204,61,NL2,negative,relax,positive,748,1
1204,1204,1205,43,NH2,negative,morgue,negative,734,1
1205,1205,1206,5,PH1,positive,fatal,negative,692,1
1206,1206,1207,51,NL1,negative,fatal,negative,783,1
1207,1207,1208,2,PH1,positive,payday,positive,888,1
1208,1208,1209,20,PL1,positive,payday,positive,651,1
1209,1209,1210,32,PL2,positive,arrest,negative,653,1
1210,1210,1211,26,PL2,positive,comfy,positive,606,1
1211,1211,1212,1,PH1,positive,excite,positive,669,1
1212,1212,1213,17,PL1,positive,relax,positive,1110,1
1213,1213,1214,35,NH1,negative,morgue,negative,808,1
1214,1214,1215,10,PH2,positive,payday,positive,673,1
1215,1215,1216,58,NL2,negative,dismal,negative,958,1
1216,1216,1217,39,NH1,negative,relax,positive,584,1
1217,1217,1218,63,NL2,negative,excite,positive,1058,1
1218,1218,1219,4,PH1,positive,comfy,positive,921,1
1219,1219,1220,50,NL1,negative,dismal,negative,638,1
1220,1220,1221,23,PL1,positive,fatal,negative,836,1
1221,1221,1222,7,PH1,positive,morgue,negative,867,1
1222,1222,1223,52,NL1,negative,arrest,negative,829,1
1223,1223,1224,40,NH1,negative,comfy,positive,725,1
1224,1224,1225,36,NH1,negative,dismal,negative,571,1
1225,1225,1226,64,NL2,negative,payday,positive,569,1
1226,1226,1227,60,NL2,negative,arrest,negative,687,1
1227,1227,1228,6,PH1,positive,arrest,negative,604,1
1228,1228,1229,27,PL2,positive,excite,positive,726,1
1229,1229,1230,30,PL2,positive,dismal,negative,724,1
1230,1230,1231,42,NH2,negative,arrest,negative,518,1
1231,1231,1232,16,PH2,positive,dismal,negative,587,1
1232,1232,1233,33,NH1,negative,fatal,negative,568,1
1233,1233,1234,3,PH1,positive,relax,positive,504,2
1234,1234,1235,24,PL1,positive,arrest,negative,567,1
1235,1235,1236,47,NH2,negative,relax,positive,700,1
1236,1236,1237,55,NL1,negative,excite,positive,1086,1
1237,1237,1238,53,NL1,negative,relax,positive,601,1
1238,1238,1239,9,PH2,positive,excite,positive,682,1
1239,1239,1240,41,NH2,negative,fatal,negative,646,1
1240,1240,1241,56,NL1,negative,payday,positive,736,1
1241,1241,1242,45,NH2,negative,excite,positive,529,1
1242,1242,1243,28,PL2,positive,payday,positive,595,1
1243,1243,1244,48,NH2,negative,comfy,positive,645,1
1244,1244,1245,22,PL1,positive,dismal,negative,542,1
1245,1245,1246,19,PL1,positive,excite,positive,730,1
1246,1246,1247,8,PH1,positive,dismal,negative,553,1
1247,1247,1248,15,PH2,positive,morgue,negative,611,1
1248,1248,1249,59,NL2,negative,fatal,negative,582,1
1249,1249,1250,46,NH2,negative,payday,positive,672,1
1250,1250,1251,49,NL1,negative,morgue,negative,630,1
